,City,Latitude,Longitude
108,Victoria,48.4284,-123.3656
109,Vancouver,49.2827,-123.1207
110,Victoria,48.4284,-123.3656
111,Vancouver,49.2827,-123.1207
112,Quesnel,52.9784,-122.4928
113,Cranbrook,49.512,-115.7694
114,Prince Rupert,54.315,-130.3208
115,Penticton,49.4991,-119.5937
116,Cranbrook,49.512,-115.7694
117,Vancouver,49.2827,-123.1207
118,Williams Lake,52.1415,-122.1417
119,Prince George,53.9171,-122.7497
120,Cranbrook,49.512,-115.7694
121,Squamish,49.7016,-123.155
122,Victoria,48.4284,-123.3656
123,Vancouver,49.2827,-123.1207
124,Victoria,48.4284,-123.3656
125,Kelowna,49.888,-119.496
126,Cranbrook,49.512,-115.7694
127,Penticton,49.4991,-119.5937
128,Vancouver,49.2827,-123.1207
129,Prince George,53.9171,-122.7497
130,Kelowna,49.888,-119.496
131,Victoria,48.4284,-123.3656
132,Vancouver,49.2827,-123.1207
133,Victoria,48.4284,-123.3656
134,Dawson Creek,55.7596,-120.2337
135,Victoria,48.4284,-123.3656
136,Prince George,53.9171,-122.7497
137,Abbotsford,49.0504,-122.3045
138,Kelowna,49.888,-119.496
139,Salmon Arm,50.7022,-119.2836
140,Salmon Arm,50.7022,-119.2836
141,Victoria,48.4284,-123.3656
142,Kamloops,50.6745,-120.3273
143,Victoria,48.4284,-123.3656
144,Victoria,48.4284,-123.3656
145,Vancouver,49.2827,-123.1207
146,Nanaimo,49.1659,-123.9401
147,Kamloops,50.6745,-120.3273
148,Vancouver,49.2827,-123.1207
149,Victoria,48.4284,-123.3656
150,Squamish,49.7016,-123.155
151,Victoria,48.4284,-123.3656
152,Vancouver,49.2827,-123.1207
153,Kamloops,50.6745,-120.3273
154,Trail,49.0955,-117.708
155,Victoria,48.4284,-123.3656
156,Whistler,50.1163,-122.9574
157,Abbotsford,49.0504,-122.3045
158,Victoria,48.4284,-123.3656
159,Abbotsford,49.0504,-122.3045
160,Kelowna,49.888,-119.496
161,Prince Rupert,54.315,-130.3208
162,Prince Rupert,54.315,-130.3208
163,Prince George,53.9171,-122.7497
164,Vancouver,49.2827,-123.1207
165,Terrace,54.5182,-128.6035
166,Victoria,48.4284,-123.3656
167,Vancouver,49.2827,-123.1207
168,Vancouver,49.2827,-123.1207
169,Nanaimo,49.1659,-123.9401
170,Abbotsford,49.0504,-122.3045
171,Vancouver,49.2827,-123.1207
172,Prince George,53.9171,-122.7497
173,Victoria,48.4284,-123.3656
174,Whistler,50.1163,-122.9574
175,Vancouver,49.2827,-123.1207
176,Abbotsford,49.0504,-122.3045
177,Kelowna,49.888,-119.496
178,Quesnel,52.9784,-122.4928
179,Vancouver,49.2827,-123.1207
180,Victoria,48.4284,-123.3656
181,Vancouver,49.2827,-123.1207
182,Quesnel,52.9784,-122.4928
183,Williams Lake,52.1415,-122.1417
184,Victoria,48.4284,-123.3656
185,Whistler,50.1163,-122.9574
186,Cranbrook,49.512,-115.7694
187,Nanaimo,49.1659,-123.9401
188,Prince George,53.9171,-122.7497
189,Victoria,48.4284,-123.3656
190,Vancouver,49.2827,-123.1207
191,Squamish,49.7016,-123.155
192,Squamish,49.7016,-123.155
193,Prince Rupert,54.315,-130.3208
194,Victoria,48.4284,-123.3656
195,Victoria,48.4284,-123.3656
196,Abbotsford,49.0504,-122.3045
197,Squamish,49.7016,-123.155
198,Williams Lake,52.1415,-122.1417
199,Abbotsford,49.0504,-122.3045
